Type,Support,Input Name,Output Name,Input Batch,Input Width,Input Height,Input Depth,Left Pad,Right Pad,Top Pad,Bottom Pad,Stride Width,Stride Height,Conv width,Conv height,Conv depth,Output width,Output height,Output depth
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1/Conv2D__39:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/bn_Conv1/FusedBatchNormV3:0,1,300,300,3,0,0,1,1,2,2,3,3,32,150,150,32
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/Conv1_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_BN/FusedBatchNormV3:0,1,150,150,32,1,1,1,1,1,1,3,3,32,150,150,32
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project_BN/FusedBatchNormV3:0,1,150,150,32,0,0,0,0,1,1,1,1,16,150,150,16
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/expanded_conv_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand/Conv2D:0,1,150,150,16,0,0,0,0,1,1,1,1,96,150,150,96
Clip,Yes,323,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_BN/FusedBatchNormV3:0,1,150,150,96,0,0,1,1,2,2,3,3,96,75,75,96
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_project_BN/FusedBatchNormV3:0,1,75,75,96,0,0,0,0,1,1,1,1,24,75,75,24
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_1_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_expand/Conv2D:0,1,75,75,24,0,0,0,0,1,1,1,1,144,75,75,144
Clip,Yes,327,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_depthwise_BN/FusedBatchNormV3:0,1,75,75,144,1,1,1,1,1,1,3,3,144,75,75,144
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_project_BN/FusedBatchNormV3:0,1,75,75,144,0,0,0,0,1,1,1,1,24,75,75,24
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_2_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_expand_BN/FusedBatchNormV3:0,1,75,75,24,0,0,0,0,1,1,1,1,144,75,75,144
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_depthwise_BN/FusedBatchNormV3:0,1,75,75,144,1,1,1,1,2,2,3,3,144,38,38,144
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_project_BN/FusedBatchNormV3:0,1,38,38,144,0,0,0,0,1,1,1,1,32,38,38,32
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_3_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_expand/Conv2D:0,1,38,38,32,0,0,0,0,1,1,1,1,192,38,38,192
Clip,Yes,331,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_depthwise_BN/FusedBatchNormV3:0,1,38,38,192,1,1,1,1,1,1,3,3,192,38,38,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_project_BN/FusedBatchNormV3:0,1,38,38,192,0,0,0,0,1,1,1,1,32,38,38,32
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_4_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_expand_BN/FusedBatchNormV3:0,1,38,38,32,0,0,0,0,1,1,1,1,192,38,38,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_depthwise_BN/FusedBatchNormV3:0,1,38,38,192,1,1,1,1,1,1,3,3,192,38,38,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_project_BN/FusedBatchNormV3:0,1,38,38,192,0,0,0,0,1,1,1,1,32,38,38,32
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_5_add/add:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_expand_BN/FusedBatchNormV3:0,1,38,38,32,0,0,0,0,1,1,1,1,192,38,38,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_depthwise_BN/FusedBatchNormV3:0,1,38,38,192,0,0,1,1,2,2,3,3,192,19,19,192
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_project_BN/FusedBatchNormV3:0,1,19,19,192,0,0,0,0,1,1,1,1,64,19,19,64
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_6_project_BN/FusedBatchNormV3:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_expand/Conv2D:0,1,19,19,64,0,0,0,0,1,1,1,1,384,19,19,384
Clip,Yes,335,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_expand_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_depthwise_BN/FusedBatchNormV3:0,1,19,19,384,1,1,1,1,1,1,3,3,384,19,19,384
Clip,Yes,used_bn,Relu6:0,,,,,,,,,,,,,,,,
Conv,Yes,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_depthwise_relu/Relu6:0,StatefulPartitionedCall/ssd_mobile_net_v2keras_feature_extractor/functional_1/block_7_project_BN/FusedBatchNormV3:0,1,19,19,384,0,0,0,0,1,1,1,1,64,19,19,64
Add,Yes,used_bn,d/add:0,,,,,,,,,,,,,,,,
